"parameter","time","value","statistic","method"
"S",0,90.47,"MSE","LW99"
"I",0,90.47,"MSE","LW99"
"R",0,0,"MSE","LW99"
"p: S->I",0,5.97684223233503e-05,"MSE","LW99"
"p: I->R",0,5.38351817314789e-05,"MSE","LW99"
"r: S->I",0,0.00696149511951104,"MSE","LW99"
"r: I->R",0,0.00368916584083415,"MSE","LW99"
"S",1,366.5175,"MSE","LW99"
"I",1,425.5475,"MSE","LW99"
"R",1,76.29,"MSE","LW99"
"p: S->I",1,8.71537341069791e-05,"MSE","LW99"
"p: I->R",1,7.96972032639218e-05,"MSE","LW99"
"r: S->I",1,0.00882158349078024,"MSE","LW99"
"r: I->R",1,0.00528202876332825,"MSE","LW99"
"S",2,1319.9825,"MSE","LW99"
"I",2,1361.4,"MSE","LW99"
"R",2,229.445,"MSE","LW99"
"p: S->I",2,9.77405629662792e-05,"MSE","LW99"
"p: I->R",2,8.41894693473538e-05,"MSE","LW99"
"r: S->I",2,0.00903031845258101,"MSE","LW99"
"r: I->R",2,0.00476932023544894,"MSE","LW99"
"S",3,2755.5525,"MSE","LW99"
"I",3,2751.645,"MSE","LW99"
"R",3,524.1025,"MSE","LW99"
"p: S->I",3,9.57642874525517e-05,"MSE","LW99"
"p: I->R",3,7.24296307841937e-05,"MSE","LW99"
"r: S->I",3,0.00676306832778095,"MSE","LW99"
"r: I->R",3,0.00459223921151011,"MSE","LW99"
"S",4,6200.0425,"MSE","LW99"
"I",4,6110.5925,"MSE","LW99"
"R",4,881.3675,"MSE","LW99"
"p: S->I",4,0.000109525446096305,"MSE","LW99"
"p: I->R",4,6.04169897366369e-05,"MSE","LW99"
"r: S->I",4,0.00579308272241938,"MSE","LW99"
"r: I->R",4,0.00489164896056791,"MSE","LW99"
"S",5,12197.875,"MSE","LW99"
"I",5,10609.365,"MSE","LW99"
"R",5,1727.49,"MSE","LW99"
"p: S->I",5,0.000112778937853189,"MSE","LW99"
"p: I->R",5,6.34374682569923e-05,"MSE","LW99"
"r: S->I",5,0.00422590422655118,"MSE","LW99"
"r: I->R",5,0.00454913805194422,"MSE","LW99"
"S",6,20026.5225,"MSE","LW99"
"I",6,18387.92,"MSE","LW99"
"R",6,3053.41,"MSE","LW99"
"p: S->I",6,0.000108962234407522,"MSE","LW99"
"p: I->R",6,8.79804300035447e-05,"MSE","LW99"
"r: S->I",6,0.00296421618992152,"MSE","LW99"
"r: I->R",6,0.00392279574145369,"MSE","LW99"
"S",7,32459.3,"MSE","LW99"
"I",7,28043.8275,"MSE","LW99"
"R",7,6425.515,"MSE","LW99"
"p: S->I",7,0.000125535168341132,"MSE","LW99"
"p: I->R",7,8.53518876402285e-05,"MSE","LW99"
"r: S->I",7,0.00295087423892328,"MSE","LW99"
"r: I->R",7,0.00358379061268483,"MSE","LW99"
"S",8,70134.9375,"MSE","LW99"
"I",8,51138.135,"MSE","LW99"
