"parameter","time","value","statistic","method"
"S",0,190,"MSE","PL"
"I",0,190,"MSE","PL"
"R",0,0,"MSE","PL"
"p: ",0,6.10743941964432e-05,"MSE","PL"
"r: ",0,6.0698350175383e-05,"MSE","PL"
NA,0,0.00513903396258879,"MSE","PL"
NA,0,0.00848129518772993,"MSE","PL"
"S",1,503.45,"MSE","PL"
"I",1,151.8,"MSE","PL"
"R",1,156.65,"MSE","PL"
"p: ",1,2.5190957773709e-05,"MSE","PL"
"r: ",1,0.000117395482107967,"MSE","PL"
NA,1,0.00555808668198959,"MSE","PL"
NA,1,0.00769539473607067,"MSE","PL"
"S",2,2030.2,"MSE","PL"
"I",2,806.2,"MSE","PL"
"R",2,595.4,"MSE","PL"
"p: ",2,4.290202466081e-05,"MSE","PL"
"r: ",2,0.000242874532106445,"MSE","PL"
NA,2,0.00868341522197178,"MSE","PL"
NA,2,0.00675194220491318,"MSE","PL"
"S",3,2273.45,"MSE","PL"
"I",3,1630.05,"MSE","PL"
"R",3,1041.25,"MSE","PL"
"p: ",3,4.84926418990602e-05,"MSE","PL"
"r: ",3,0.000205037650688336,"MSE","PL"
NA,3,0.00288848974667186,"MSE","PL"
NA,3,0.00792571626764996,"MSE","PL"
"S",4,7986.5,"MSE","PL"
"I",4,9099.95,"MSE","PL"
"R",4,1953.85,"MSE","PL"
"p: ",4,0.000100649039288254,"MSE","PL"
"r: ",4,0.00023178773732094,"MSE","PL"
NA,4,0.00493166791478576,"MSE","PL"
NA,4,0.00997063712454199,"MSE","PL"
"S",5,35678.95,"MSE","PL"
"I",5,35622.65,"MSE","PL"
"R",5,3740.25,"MSE","PL"
"p: ",5,0.000147985647401896,"MSE","PL"
"r: ",5,0.000257166362925652,"MSE","PL"
NA,5,0.00568942688639726,"MSE","PL"
NA,5,0.0128431534730973,"MSE","PL"
"S",6,53091.05,"MSE","PL"
"I",6,35631.3,"MSE","PL"
"R",6,5139,"MSE","PL"
"p: ",6,8.27619273264103e-05,"MSE","PL"
"r: ",6,0.000227101884466184,"MSE","PL"
NA,6,0.0032175082532313,"MSE","PL"
NA,6,0.00433315553027032,"MSE","PL"
"S",7,50798.35,"MSE","PL"
"I",7,17439.1,"MSE","PL"
"R",7,9871.9,"MSE","PL"
"p: ",7,0.000116093315690626,"MSE","PL"
"r: ",7,0.000179795615759607,"MSE","PL"
NA,7,0.0026221357737075,"MSE","PL"
NA,7,0.00339957193038905,"MSE","PL"
"S",8,15894.6,"MSE","PL"
"I",8,737.85,"MSE","PL"
"R",8,12723.2,"MSE","PL"
"p: ",8,8.35530420020571e-05,"MSE","PL"
"r: ",8,0.000157425665976359,"MSE","PL"
NA,8,0.00208097859216608,"MSE","PL"
NA,8,0.00331500205823378,"MSE","PL"
"S",9,11765.7,"MSE","PL"
"I",9,7483.15,"MSE","PL"
"R",9,13546.5,"MSE","PL"
"p: ",9,5.31074514917075e-05,"MSE","PL"
"r: ",9,0.000145326758545557,"MSE","PL"
NA,9,0.00200039942659525,"MSE","PL"
NA,9,0.0048955189877073,"MSE","PL"
"S",10,34629.75,"MSE","PL"
"I",10,15546.45,"MSE","PL"
"R",10,25777.45,"MSE","PL"
"p: ",10,7.45652856947284e-05,"MSE","PL"
"r: ",10,0.000143867310960941,"MSE","PL"
NA,10,0.00273634913870092,"MSE","PL"
NA,10,0.00453603467123442,"MSE","PL"
"S",11,70399.1,"MSE","PL"
"I",11,18989.3,"MSE","PL"
"R",11,40474.9,"MSE","PL"
"p: ",11,7.88732950902233e-05,"MSE","PL"
"r: ",11,0.000170966318404802,"MSE","PL"
NA,11,0.0024315544797071,"MSE","PL"
NA,11,0.00355599615385117,"MSE","PL"
"S",12,112407.75,"MSE","PL"
"I",12,51347.65,"MSE","PL"
"R",12,58966.1,"MSE","PL"
"p: ",12,8.11433078778517e-05,"MSE","PL"
"r: ",12,0.000193159748850086,"MSE","PL"
NA,12,0.00256606265284089,"MSE","PL"
NA,12,0.00355115310638641,"MSE","PL"
"S",13,120295,"MSE","PL"
"I",13,34801.45,"MSE","PL"
"R",13,68275,"MSE","PL"
"p: ",13,7.1822602020486e-05,"MSE","PL"
"r: ",13,0.000153592440837932,"MSE","PL"
NA,13,0.00248408755541102,"MSE","PL"
NA,13,0.00292710755182035,"MSE","PL"
"S",14,198455.9,"MSE","PL"
"I",14,19820.25,"MSE","PL"
"R",14,145516.5,"MSE","PL"
"p: ",14,6.95017818199213e-05,"MSE","PL"
"r: ",14,0.00018317230249602,"MSE","PL"
NA,14,0.00315121041739838,"MSE","PL"
NA,14,0.00323172780377731,"MSE","PL"
"S",15,391830.95,"MSE","PL"
"I",15,38673.5,"MSE","PL"
"R",15,335597.1,"MSE","PL"
"p: ",15,9.64441093538861e-05,"MSE","PL"
"r: ",15,0.000213115257741552,"MSE","PL"
NA,15,0.00387606549935198,"MSE","PL"
NA,15,0.00352291510926437,"MSE","PL"
"S",16,553127.15,"MSE","PL"
"I",16,109812,"MSE","PL"
"R",16,460086.75,"MSE","PL"
"p: ",16,0.000125515370726867,"MSE","PL"
"r: ",16,0.000159286711225959,"MSE","PL"
NA,16,0.00321836326306196,"MSE","PL"
NA,16,0.00201101847629595,"MSE","PL"
"S",17,480001.05,"MSE","PL"
"I",17,123280.3,"MSE","PL"
"R",17,440810.85,"MSE","PL"
"p: ",17,0.000116074680056893,"MSE","PL"
"r: ",17,0.000169172240948719,"MSE","PL"
NA,17,0.00422267516277012,"MSE","PL"
NA,17,0.00399191018122376,"MSE","PL"
"S",18,388779.5,"MSE","PL"
"I",18,142726.25,"MSE","PL"
"R",18,373470.05,"MSE","PL"
"p: ",18,8.61385186491857e-05,"MSE","PL"
"r: ",18,0.00012025699362631,"MSE","PL"
NA,18,0.00271193068662902,"MSE","PL"
NA,18,0.00266468231547418,"MSE","PL"
"S",19,475262.35,"MSE","PL"
"I",19,250991.85,"MSE","PL"
"R",19,375978.15,"MSE","PL"
"p: ",19,6.30483491188903e-05,"MSE","PL"
"r: ",19,0.000137355636549487,"MSE","PL"
NA,19,0.00273013606234762,"MSE","PL"
NA,19,0.00265892147068066,"MSE","PL"
"S",20,334463.85,"MSE","PL"
"I",20,227282,"MSE","PL"
"R",20,488307.15,"MSE","PL"
"p: ",20,7.08154580075104e-05,"MSE","PL"
"r: ",20,0.000104821938051768,"MSE","PL"
NA,20,0.00202220068310734,"MSE","PL"
NA,20,0.0015754098743743,"MSE","PL"
"S",21,366931.3,"MSE","PL"
"I",21,226051.5,"MSE","PL"
"R",21,484877.3,"MSE","PL"
"p: ",21,6.24219955575612e-05,"MSE","PL"
"r: ",21,6.9227423157689e-05,"MSE","PL"
NA,21,0.00179738035025412,"MSE","PL"
NA,21,0.00121900675213265,"MSE","PL"
"S",22,318860.65,"MSE","PL"
"I",22,378988,"MSE","PL"
"R",22,474595.9,"MSE","PL"
"p: ",22,1.59104797159825e-05,"MSE","PL"
"r: ",22,3.50360479945537e-05,"MSE","PL"
NA,22,0.0012292939101343,"MSE","PL"
NA,22,0.0014140347886952,"MSE","PL"
"S",23,377579.25,"MSE","PL"
"I",23,342595.15,"MSE","PL"
"R",23,597893.15,"MSE","PL"
"p: ",23,2.44891962342344e-05,"MSE","PL"
"r: ",23,3.78360668443665e-05,"MSE","PL"
NA,23,0.00120658169573144,"MSE","PL"
NA,23,0.00118736394180842,"MSE","PL"
"S",24,569352.15,"MSE","PL"
"I",24,645113.45,"MSE","PL"
"R",24,815713.1,"MSE","PL"
"p: ",24,5.71216009268782e-05,"MSE","PL"
"r: ",24,5.04508289285062e-05,"MSE","PL"
NA,24,0.00136123395299247,"MSE","PL"
NA,24,0.000802814506909945,"MSE","PL"
"S",25,540024.25,"MSE","PL"
"I",25,1061601.55,"MSE","PL"
"R",25,744016.6,"MSE","PL"
"p: ",25,3.04041412856143e-05,"MSE","PL"
"r: ",25,4.34480778872238e-05,"MSE","PL"
NA,25,0.00108283509936232,"MSE","PL"
NA,25,0.0013651011922803,"MSE","PL"
"S",26,600995.3,"MSE","PL"
"I",26,890280.3,"MSE","PL"
"R",26,866454.95,"MSE","PL"
"p: ",26,3.31805782357127e-05,"MSE","PL"
"r: ",26,3.89880469249318e-05,"MSE","PL"
NA,26,0.00105601134042786,"MSE","PL"
NA,26,0.00101003513093643,"MSE","PL"
"S",27,554948.7,"MSE","PL"
"I",27,1034772.45,"MSE","PL"
"R",27,865025,"MSE","PL"
"p: ",27,1.90096933082695e-05,"MSE","PL"
"r: ",27,2.90776404251552e-05,"MSE","PL"
NA,27,0.00143550950222911,"MSE","PL"
NA,27,0.00168342935145551,"MSE","PL"
"S",28,570037.4,"MSE","PL"
"I",28,1016915.2,"MSE","PL"
"R",28,896991.5,"MSE","PL"
"p: ",28,1.78000065332857e-05,"MSE","PL"
"r: ",28,2.63158171304456e-05,"MSE","PL"
NA,28,0.00165784051474994,"MSE","PL"
NA,28,0.00187325481821513,"MSE","PL"
"S",29,499362.95,"MSE","PL"
"I",29,1093010.85,"MSE","PL"
"R",29,990930.6,"MSE","PL"
"p: ",29,2.70283379874749e-05,"MSE","PL"
"r: ",29,3.11281264622347e-05,"MSE","PL"
NA,29,0.00131069544874695,"MSE","PL"
NA,29,0.00150195608952734,"MSE","PL"
"S",30,683302.9,"MSE","PL"
"I",30,794069.3,"MSE","PL"
"R",30,1038203.85,"MSE","PL"
"p: ",30,5.63508934312232e-05,"MSE","PL"
"r: ",30,2.39401651271556e-05,"MSE","PL"
NA,30,0.00103128002415317,"MSE","PL"
NA,30,0.000996927945802703,"MSE","PL"
"S",31,648870.05,"MSE","PL"
"I",31,28853,"MSE","PL"
"R",31,639220.9,"MSE","PL"
"p: ",31,5.93158329471055e-05,"MSE","PL"
"r: ",31,1.19712883926292e-05,"MSE","PL"
NA,31,0.000403394403786046,"MSE","PL"
NA,31,0.000442653425198584,"MSE","PL"
"S",32,891702.6,"MSE","PL"
"I",32,21799.1,"MSE","PL"
"R",32,879585.3,"MSE","PL"
"p: ",32,0.000108712436418344,"MSE","PL"
"r: ",32,2.69637552821621e-05,"MSE","PL"
NA,32,0.000729436124367466,"MSE","PL"
NA,32,0.000124541396290852,"MSE","PL"
"S",33,812172.45,"MSE","PL"
"I",33,15788.5,"MSE","PL"
"R",33,811511.55,"MSE","PL"
"p: ",33,8.28086864481779e-05,"MSE","PL"
"r: ",33,1.99453122483678e-05,"MSE","PL"
NA,33,0.000477118589848064,"MSE","PL"
NA,33,0.00015198627078839,"MSE","PL"
"S",34,865223.3,"MSE","PL"
"I",34,12788.4,"MSE","PL"
"R",34,843787.4,"MSE","PL"
"p: ",34,9.5491906530383e-05,"MSE","PL"
"r: ",34,2.36621248588523e-05,"MSE","PL"
NA,34,0.000541906415888379,"MSE","PL"
NA,34,9.41963233233758e-05,"MSE","PL"
"S",35,751945.7,"MSE","PL"
"I",35,17372.65,"MSE","PL"
"R",35,769124.25,"MSE","PL"
"p: ",35,6.65968846022475e-05,"MSE","PL"
"r: ",35,1.95239940296322e-05,"MSE","PL"
NA,35,0.000383420529506913,"MSE","PL"
NA,35,0.000150176667629019,"MSE","PL"
"S",36,657820.85,"MSE","PL"
"I",36,27517.1,"MSE","PL"
"R",36,655205.2,"MSE","PL"
"p: ",36,5.56552841880283e-05,"MSE","PL"
"r: ",36,1.68275221500741e-05,"MSE","PL"
NA,36,0.000348026674251257,"MSE","PL"
NA,36,0.000225336625940501,"MSE","PL"
"S",37,853071.15,"MSE","PL"
"I",37,22317.45,"MSE","PL"
"R",37,818546.3,"MSE","PL"
"p: ",37,9.13346765465435e-05,"MSE","PL"
"r: ",37,2.71139236787589e-05,"MSE","PL"
NA,37,0.000603388771670184,"MSE","PL"
NA,37,0.000122088808931904,"MSE","PL"
"S",38,933075.85,"MSE","PL"
"I",38,17745.85,"MSE","PL"
"R",38,889518.5,"MSE","PL"
"p: ",38,9.21139779345892e-05,"MSE","PL"
"r: ",38,2.88111825686723e-05,"MSE","PL"
NA,38,0.000592187712669025,"MSE","PL"
NA,38,0.000143890465522388,"MSE","PL"
"S",39,673373.65,"MSE","PL"
"I",39,17662.4,"MSE","PL"
"R",39,634459.85,"MSE","PL"
"p: ",39,5.86203483368336e-05,"MSE","PL"
"r: ",39,1.29902117980237e-05,"MSE","PL"
NA,39,0.000231540597059022,"MSE","PL"
NA,39,0.000334499869822282,"MSE","PL"
"S",40,531363.45,"MSE","PL"
"I",40,14908,"MSE","PL"
"R",40,489373.25,"MSE","PL"
"p: ",40,4.68258775843246e-05,"MSE","PL"
"r: ",40,1.00634904982574e-05,"MSE","PL"
NA,40,0.000214968827712977,"MSE","PL"
NA,40,0.000411038868951975,"MSE","PL"
"S",41,464542.5,"MSE","PL"
"I",41,15273.85,"MSE","PL"
"R",41,398736.5,"MSE","PL"
"p: ",41,3.24701094128354e-05,"MSE","PL"
"r: ",41,4.59246443916685e-06,"MSE","PL"
NA,41,0.000334071318159547,"MSE","PL"
NA,41,0.000655465872858561,"MSE","PL"
"S",42,492787.35,"MSE","PL"
"I",42,10665.4,"MSE","PL"
"R",42,436389.3,"MSE","PL"
"p: ",42,3.17125897942715e-05,"MSE","PL"
"r: ",42,6.00062816298465e-06,"MSE","PL"
NA,42,0.000254906965954894,"MSE","PL"
NA,42,0.000592652751339886,"MSE","PL"
"S",43,617359.5,"MSE","PL"
"I",43,9414.6,"MSE","PL"
"R",43,566186.2,"MSE","PL"
"p: ",43,4.82790126107762e-05,"MSE","PL"
"r: ",43,1.09907479406591e-05,"MSE","PL"
NA,43,0.000154778864517772,"MSE","PL"
NA,43,0.000445533323503547,"MSE","PL"
"S",44,501621.55,"MSE","PL"
"I",44,8195.6,"MSE","PL"
"R",44,446832.3,"MSE","PL"
"p: ",44,3.79185245714673e-05,"MSE","PL"
"r: ",44,6.23971061839374e-06,"MSE","PL"
NA,44,0.00025476423895491,"MSE","PL"
NA,44,0.000592300144309031,"MSE","PL"
"S",45,531921.5,"MSE","PL"
"I",45,7154.05,"MSE","PL"
"R",45,491687.75,"MSE","PL"
"p: ",45,4.1535541153058e-05,"MSE","PL"
"r: ",45,6.61971659068844e-06,"MSE","PL"
NA,45,0.000251193995220647,"MSE","PL"
NA,45,0.000574120279904126,"MSE","PL"
"S",46,482563.1,"MSE","PL"
"I",46,5860.6,"MSE","PL"
"R",46,441236.4,"MSE","PL"
"p: ",46,3.63724265422889e-05,"MSE","PL"
"r: ",46,6.63623529595496e-06,"MSE","PL"
NA,46,0.000250040198937919,"MSE","PL"
NA,46,0.000531873739057885,"MSE","PL"
"S",47,543138.35,"MSE","PL"
"I",47,4110.4,"MSE","PL"
"R",47,510886,"MSE","PL"
"p: ",47,4.397714987245e-05,"MSE","PL"
"r: ",47,9.02508302510095e-06,"MSE","PL"
NA,47,0.000224938847927118,"MSE","PL"
NA,47,0.000466521747911285,"MSE","PL"
"S",48,485952.95,"MSE","PL"
"I",48,3139.65,"MSE","PL"
"R",48,441126.65,"MSE","PL"
"p: ",48,3.49214510829557e-05,"MSE","PL"
"r: ",48,6.30065561153629e-06,"MSE","PL"
NA,48,0.00025211238757615,"MSE","PL"
NA,48,0.00054840073862539,"MSE","PL"
"S",49,460024.55,"MSE","PL"
"I",49,2652,"MSE","PL"
"R",49,416149.8,"MSE","PL"
"p: ",49,3.17074585381745e-05,"MSE","PL"
"r: ",49,5.86074624912753e-06,"MSE","PL"
NA,49,0.000271237394020795,"MSE","PL"
NA,49,0.000565393999001199,"MSE","PL"
"S",50,451232.3,"MSE","PL"
"I",50,2069.2,"MSE","PL"
"R",50,411485.8,"MSE","PL"
"p: ",50,2.93124009730815e-05,"MSE","PL"
"r: ",50,6.26041140662569e-06,"MSE","PL"
NA,50,0.000241469161291169,"MSE","PL"
NA,50,0.000516129317692968,"MSE","PL"
"S",51,488651.1,"MSE","PL"
"I",51,1520.6,"MSE","PL"
"R",51,445553.65,"MSE","PL"
"p: ",51,3.07819877752694e-05,"MSE","PL"
"r: ",51,6.01494267697134e-06,"MSE","PL"
NA,51,0.000255368682028276,"MSE","PL"
NA,51,0.000553541056377553,"MSE","PL"
"S",52,578106.05,"MSE","PL"
"I",52,940.65,"MSE","PL"
"R",52,543238.7,"MSE","PL"
"p: ",52,3.49226896457904e-05,"MSE","PL"
"r: ",52,7.85560905207403e-06,"MSE","PL"
NA,52,0.000186200243493654,"MSE","PL"
NA,52,0.000469770899873963,"MSE","PL"
