"sim","time","S","I","R","StoI","ItoR","yStoI","yItoR"
1,0,16000,10,0,13,4,7,1
1,1,15987,19,4,19,9,15,3
1,2,15968,29,13,34,8,26,2
1,3,15934,55,21,64,34,47,12
1,4,15870,85,55,106,47,92,12
1,5,15764,144,102,163,82,136,21
1,6,15601,225,184,278,132,231,33
1,7,15323,371,316,425,203,356,48
1,8,14898,593,519,702,321,595,83
1,9,14196,974,840,1063,555,889,146
1,10,13133,1482,1395,1589,948,1330,259
1,11,11544,2123,2343,1876,1266,1553,334
1,12,9668,2733,3609,1976,1559,1639,411
1,13,7692,3150,5168,1860,1917,1562,506
1,14,5832,3093,7085,1406,1873,1192,493
1,15,4426,2626,8958,919,1489,767,368
1,16,3507,2056,10447,584,1225,485,299
1,17,2923,1415,11672,305,906,258,234
1,18,2618,814,12578,149,505,126,134
1,19,2469,458,13083,89,233,74,54
1,20,2380,314,13316,60,215,51,62
1,21,2320,159,13531,33,86,31,18
1,22,2287,106,13617,18,65,17,18
1,23,2269,59,13682,10,26,7,3
1,24,2259,43,13708,8,25,7,9
1,25,2251,26,13733,5,16,4,1
1,26,2246,15,13749,1,5,1,0
1,27,2245,11,13754,0,8,0,1
1,28,2245,3,13762,0,2,0,1
1,29,2245,1,13764,0,0,0,0
1,30,2245,1,13764,0,0,0,0
1,31,2245,1,13764,1,1,1,0
1,32,2244,1,13765,0,1,0,0
1,33,2244,0,13766,0,0,0,0
1,34,2244,0,13766,0,0,0,0
1,35,2244,0,13766,0,0,0,0
1,36,2244,0,13766,0,0,0,0
1,37,2244,0,13766,0,0,0,0
1,38,2244,0,13766,0,0,0,0
1,39,2244,0,13766,0,0,0,0
1,40,2244,0,13766,0,0,0,0
1,41,2244,0,13766,0,0,0,0
1,42,2244,0,13766,0,0,0,0
1,43,2244,0,13766,0,0,0,0
1,44,2244,0,13766,0,0,0,0
1,45,2244,0,13766,0,0,0,0
1,46,2244,0,13766,0,0,0,0
1,47,2244,0,13766,0,0,0,0
1,48,2244,0,13766,0,0,0,0
1,49,2244,0,13766,0,0,0,0
1,50,2244,0,13766,NA,NA,NA,NA
2,0,16000,10,0,10,2,6,2
2,1,15990,18,2,29,3,27,2
2,2,15961,44,5,58,16,51,11
2,3,15903,86,21,93,30,84,20
2,4,15810,149,51,178,57,157,35
2,5,15632,270,108,333,118,300,92
2,6,15299,485,226,637,226,589,163
2,7,14662,896,452,1118,441,1007,306
2,8,13544,1573,893,1814,720,1627,510
2,9,11730,2667,1613,2637,1248,2384,875
2,10,9093,4056,2861,3114,1879,2796,1367
2,11,5979,5291,4740,2684,2493,2395,1788
2,12,3295,5482,7233,1466,2593,1323,1856
2,13,1829,4355,9826,695,2037,628,1454
2,14,1134,3013,11863,330,1362,310,1005
2,15,804,1981,13225,119,921,108,660
2,16,685,1179,14146,78,522,66,377
2,17,607,735,14668,30,350,25,253
2,18,577,415,15018,19,188,17,136
2,19,558,246,15206,10,120,10,89
2,20,548,136,15326,8,67,8,52
2,21,540,77,15393,3,38,1,26
2,22,537,42,15431,5,24,2,17
2,23,532,23,15455,2,10,2,5
2,24,530,15,15465,0,6,0,4
2,25,530,9,15471,0,2,0,2
2,26,530,7,15473,0,3,0,2
2,27,530,4,15476,0,0,0,0
2,28,530,4,15476,0,1,0,1
2,29,530,3,15477,0,1,0,1
2,30,530,2,15478,0,1,0,1
2,31,530,1,15479,0,0,0,0
2,32,530,1,15479,0,1,0,0
2,33,530,0,15480,0,0,0,0
2,34,530,0,15480,0,0,0,0
2,35,530,0,15480,0,0,0,0
2,36,530,0,15480,0,0,0,0
2,37,530,0,15480,0,0,0,0
2,38,530,0,15480,0,0,0,0
2,39,530,0,15480,0,0,0,0
2,40,530,0,15480,0,0,0,0
2,41,530,0,15480,0,0,0,0
2,42,530,0,15480,0,0,0,0
2,43,530,0,15480,0,0,0,0
2,44,530,0,15480,0,0,0,0
2,45,530,0,15480,0,0,0,0
2,46,530,0,15480,0,0,0,0
2,47,530,0,15480,0,0,0,0
2,48,530,0,15480,0,0,0,0
2,49,530,0,15480,0,0,0,0
2,50,530,0,15480,NA,NA,NA,NA
3,0,16000,10,0,6,1,0,0
3,1,15994,15,1,9,8,0,1
3,2,15985,16,9,10,6,2,3
3,3,15975,20,15,18,7,1,1
3,4,15957,31,22,27,9,0,3
3,5,15930,49,31,42,22,2,4
3,6,15888,69,53,62,25,2,3
3,7,15826,106,78,83,29,4,11
3,8,15743,160,107,116,51,8,15
3,9,15627,225,158,194,62,5,21
3,10,15433,357,220,267,121,8,34
3,11,15166,503,341,391,169,16,34
3,12,14775,725,510,523,240,15,60
3,13,14252,1008,750,687,344,25,69
3,14,13565,1351,1094,877,463,29,120
3,15,12688,1765,1557,1113,594,35,140
3,16,11575,2284,2151,1239,742,38,182
3,17,10336,2781,2893,1374,964,45,218
3,18,8962,3191,3857,1387,1078,40,267
3,19,7575,3500,4935,1238,1216,42,324
3,20,6337,3522,6151,1094,1133,23,274
3,21,5243,3483,7284,892,1122,33,260
3,22,4351,3253,8406,672,1055,21,261
3,23,3679,2870,9461,486,985,19,235
3,24,3193,2371,10446,345,793,11,184
3,25,2848,1923,11239,260,668,10,161
3,26,2588,1515,11907,198,498,11,121
3,27,2390,1215,12405,142,383,6,82
3,28,2248,974,12788,100,325,3,80
