"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
606,465,774,1.28361709474624,1.23777330407395,1.33086354652849,15,5,29,0.446428197331515,0.418397598664607,0.476462232554138
378,272,512,1.73010245475366,1.67288141213113,1.78895813826894,10,1,23,0.598295098520695,0.564408499629683,0.635052112977005
565,423,744,1.29719864548581,1.24994935324392,1.34599574036753,48,25,77,0.445142071573602,0.415332163116114,0.477812796574463
367,260,501,1.65040007979432,1.59172851218319,1.71033312252203,150,94,222,0.555415637313169,0.518957838836731,0.594119678103851
709,591,841,1.27691929662557,1.23715164933923,1.3191796504651,10,2,20,0.459594440129294,0.434539247889667,0.485986359058774
488,392,594,1.67435078282377,1.6248356308007,1.72495118033048,1,-1,5,0.599238376690267,0.568621464755746,0.630500442050177
559,459,670,1.30256413452403,1.26295573567642,1.34339860886019,7,1,16,0.44654636662436,0.422271822314768,0.471564832315607
362,285,446,1.68197008646822,1.63385638697732,1.73167297505569,5,-1,13,0.576583114348654,0.548444580832994,0.605749639584319
696,570,840,1.27759023954529,1.24016934639723,1.3160032937811,9,2,19,0.458149352401212,0.438789183940434,0.480322674529092
477,377,590,1.65389553200988,1.60713312476954,1.70165688462472,19,5,35,0.586080255699247,0.563419652577102,0.610569305041816
622,496,766,1.32757924277347,1.28746664760461,1.36880263064956,284,217,358,0.461785774236173,0.43744293305095,0.487988008108667
316,232,415,1.75965135661065,1.710873699278,1.80931743753622,26,10,45,0.595057999634078,0.572616200763,0.619248607442895
669,586,759,1.27209421151013,1.24011260159999,1.30482052647001,10,2,20,0.451551458295531,0.43848579760903,0.465054559468379
525,449,607,1.65991381337655,1.61915193367168,1.7021501325264,6,0,15,0.600572257998853,0.584172913835846,0.617368697167914
582,504,666,1.29884448086673,1.26713434672593,1.33142489170942,0,-3,4,0.450181416206695,0.437398620040534,0.462795598580782
478,406,556,1.69709617104033,1.65605788616458,1.73921347246639,1,-2,5,0.605295865160713,0.589044012065839,0.621906082647296
