"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15994,15984,16000,1.48470772833365,1.26003696695663,1.73634048086878,6,0,15,0.495623497097775,0.370320867941988,0.645892102322999
15976,15953,15990,1.51346490109387,1.29003169331497,1.7625307358084,20,8,40,0.483996604314554,0.361481571792341,0.633599357724937
15963,15928,15984,1.48249561488118,1.26503821060886,1.72368609650323,27,10,56,0.486443484550506,0.363032162690144,0.633298976999925
15938,15891,15969,1.46893718380567,1.25766304796967,1.70416005235152,43,19,82,0.483725771431667,0.361633715957379,0.631093060057057
15887,15823,15932,1.45610774760671,1.25171525607214,1.6857793757691,76,40,128,0.488810656125588,0.367204740478003,0.633681748520637
15790,15705,15856,1.44778751970893,1.25018039772286,1.66845469428982,139,87,209,0.488258095548591,0.369928697352012,0.630057258160088
15721,15624,15798,1.37475840329305,1.19083969314109,1.58201533999421,167,106,246,0.519876005571536,0.397605163671466,0.664136153897461
15493,15366,15601,1.37697649288053,1.20264247010873,1.57591845655661,313,224,422,0.509113278771129,0.393186435602796,0.643790545097275
15093,14924,15242,1.37081602416187,1.2079098073961,1.55489905730371,562,434,711,0.503706503696027,0.395359837438224,0.630795435316749
14497,14278,14691,1.3349459372794,1.18654363490349,1.50128064686106,902,728,1104,0.509249694891567,0.405734584554141,0.628128147942554
13143,12842,13422,1.38421737012182,1.24452503831219,1.53830856199788,1759,1494,2050,0.495608196120605,0.403831904072238,0.602898699533433
11195,10807,11562,1.37973033528664,1.25815940876165,1.51533352181941,2831,2465,3228,0.500902564291337,0.417638714436333,0.598025166876009
8617,8131,9081,1.33443358841009,1.23127546687345,1.44739431663095,4138,3643,4661,0.474748685774968,0.401103144755927,0.560521467632177
5551,4993,6090,1.35350846665912,1.26496035579009,1.45309169138838,5173,4566,5806,0.481928834942547,0.415690799151922,0.560053109153144
3172,2634,3716,1.33424123014677,1.25689996814703,1.42262971568557,5147,4464,5839.02499999999,0.47223366474886,0.409813355045749,0.546678936405079
1832,1443,2270,1.34496668006367,1.27039678684972,1.42929917720707,4037,3382,4690.02499999999,0.480118254623192,0.419957042863153,0.552166122260111
1219,924,1566,1.34468529266201,1.26965054900719,1.42925969180633,2710,2146,3315,0.480915293140885,0.421097943136805,0.551470911206014
953,714.975,1243,1.34414551785464,1.27157415008344,1.42259368019637,1680,1273,2150.02499999999,0.4821163911563,0.425984674470152,0.54569107185845
886,664,1152,1.35422250356628,1.28593005758115,1.42631038751496,943,693,1257,0.496497914050576,0.44388548492812,0.552431424255907
760,572,984,1.32402870155461,1.2637879780858,1.38669673094748,647,474,863,0.473399412932685,0.429838637563557,0.519972863814027
687,518,890,1.29921241163552,1.24415489026908,1.35601987374823,448,325,603,0.45679085651897,0.417982077043875,0.497688948822808
645,488,837,1.28669332686826,1.2351094514261,1.34000672103404,295,208,402,0.448299832399757,0.413453943387146,0.485822413015247
600,453,782,1.27792729993688,1.22853546901791,1.32864739919094,192,130,270,0.439753985813494,0.407501106319987,0.4746033606443
600,458,779,1.27851376904853,1.23075573746747,1.32796331723295,117,75,170,0.441424236757747,0.411095642436692,0.474761842526135
613,466,792,1.28564389608386,1.23806672796733,1.33410371782352,65,37,100,0.447553248845058,0.417180132075939,0.480606787103308
603,462,772,1.2838670919137,1.23746671264208,1.33223260221435,39,19,65,0.445657102344988,0.417006345907284,0.477135078034746
602,459,776,1.28345253309819,1.23767968994485,1.33096283662609,25,11,44,0.445407925308568,0.416971154364358,0.477064384739168
607,465,774,1.28438911872469,1.23822873519567,1.33121201830929,15,5,28,0.44672477928004,0.418895964495002,0.477076716181336
610,470,792,1.28637667746277,1.24076459078783,1.33431179640622,8,1,19,0.44857139737971,0.42040907642722,0.479917377078906
610,476,774,1.28688473741905,1.24104217906872,1.33419028021358,5,0,12,0.448922459887136,0.422258592276667,0.476672701618979
613,476,779,1.28771299185173,1.24129047716622,1.33483839943405,3,0,9,0.449906963198058,0.421748846998142,0.479142766033645
