"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
624,469,807,1.2989691159673,1.24234824265752,1.37171681398708,2,0,8,0.454299426056278,0.423540537019107,0.483531426739413
345,251,450.025,1.70251518822211,1.64327073316922,1.82414615250302,1,0,5,0.579415496917885,0.551554417478485,0.621951393424613
550,403.975,712,1.31538149944991,1.25231167120665,1.35667821247651,9,1,22,0.445857444454803,0.404522547092204,0.481528424680087
335,219,449,1.64262089687,1.59059716993547,1.70851543798403,19,6,36,0.544454735162588,0.51004337828398,0.576690010875649
712,592.975,851,1.27922450034318,1.23659869999726,1.33667409781195,1,0,5.02499999999964,0.465268649125227,0.43949038612863,0.490358701703848
485,394,580,1.6636863691827,1.61551064524295,1.69585140662065,0,0,2,0.598678133335215,0.569202877309455,0.629944709325621
576,481,670,1.30818482540341,1.26245564059424,1.36099862298447,1,0,5,0.449569951605443,0.428246421877641,0.473923982884052
371,277.95,455,1.67246358401097,1.62309712764525,1.72189964765852,0,0,3,0.573986080870652,0.550622654302985,0.602436268516198
692,555.975,885,1.30256967386715,1.24996913090251,1.329338625373,1,0,7,0.463618695739671,0.440881641997834,0.482889666286549
440,366,553,1.66819147757876,1.61228187172673,1.71419683722817,2,0,8,0.579491302142076,0.556403964448023,0.602449169334325
573,453,709,1.34715631895274,1.28824953824577,1.38835064842442,52,31,77,0.466140971245772,0.437726593036138,0.491619470950146
330,252,430,1.74740985060421,1.69295323380693,1.79836275604376,1,0,7,0.600619694922658,0.571672506892707,0.626647849396085
673,607,754,1.27046176868755,1.24195359696931,1.29775937784718,2,0,7,0.452408764393624,0.438798168317433,0.465978534145741
503,456.975,569,1.6682388480002,1.62152072631219,1.70898628948965,0,0,2,0.600877350776383,0.581974692083946,0.61569742723281
578,507,695,1.29745312284713,1.26720495243563,1.32369499088763,0,0,2,0.449035091780202,0.439595086730663,0.461023965497647
475,408,561,1.6941314173272,1.63848044697419,1.73603874233429,0,0,2,0.60083342377709,0.588115932280512,0.622549761937624
