"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
6180,5822,6544,1.54797869798482,1.37519973206238,1.7098934714157,0,0,4,1.01059464851571,0.91657514566446,1.10504067994027
6143,5833,6669,1.5698113725039,1.43636240193579,1.7168427468427,0,0,6,1.05399621832466,0.971230324957562,1.12926749682013
2423,1965,2798,1.77943766953569,1.64559622785089,1.91521018930465,0,0,2,0.922157829048043,0.846363877815639,1.00832805716197
2016,1636,2395,2.10718561821721,2.00318878408881,2.20518388462284,0,0,1,1.07439968475198,1.00420455384634,1.13927360145548
718,542,995,2.28995989080457,2.17192272982123,2.40831472831432,0,0,1,0.954974035389281,0.893522103195777,1.01741337646099
110,42,197,2.69415590185382,2.58721120545575,2.8057671277426,0,0,0,1.03984966834513,0.99195437951198,1.09751302395077
5750,5602,5936,1.53810356669153,1.34467755819195,1.76010251100208,0,0,0,0.973152676304676,0.884368295600184,1.06452974828181
6513,6346.975,6693,1.57025769060067,1.45588299978481,1.69727993899921,0,0,0,1.07736894210845,1.00560003449573,1.15181605474574
2259,2057,2441,1.84350383395301,1.72842837487731,1.949875557383,0,0,1,0.931417381928892,0.884835972610308,0.981415537378922
2054,1892.975,2276.225,2.14685269520596,2.02469662753364,2.26527095283569,0,0,0,1.07173503255939,1.0143181910286,1.13743737095842
459,358,568,2.28592466951709,2.19321801995259,2.375167076233,0,0,1,0.900865049932676,0.857557449342459,0.94332243697495
53,17,129,2.74854438265789,2.66813557789524,2.83180214230573,0,0,0,1.04246297774514,0.994805892300295,1.09923814659568
5969,5710,6119,1.48711637765479,1.30812141045377,1.64879303568222,0,0,1,0.964287969009618,0.886003971404268,1.04774152703834
5969,5791,6105,1.55292828170012,1.41544003248499,1.69857777274489,0,0,0,1.02305090938195,0.944522096534741,1.1155446319413
2533,2353,2762,1.85277450056698,1.70900705991385,2.00376943829238,0,0,1,0.960828253539326,0.898453005587812,1.02021040691539
1831,1618,2099,2.17759417537393,2.06487279540966,2.33038334509097,0,0,0,1.08903822635742,1.02444969006522,1.15255550411691
602,478,746,2.24780003731757,2.16670483650229,2.33702735016676,0,0,0,0.918324482145281,0.878142494276186,0.959836490509708
136,83,221,2.70431499298813,2.63149560161266,2.77143610067472,0,0,0,1.07417395172466,1.04290097776801,1.11626930620071
6176,6069,6303,1.38559520203263,1.20665301672297,1.54879788306805,0,0,0,0.928811890809582,0.854562737904081,1.00603247894383
6174,6058.975,6241,1.54502633623838,1.44854704027607,1.65532423149539,0,0,0,1.08158538097119,1.02377804218019,1.14243768239773
2209,2042,2381,1.78051379289664,1.71643542366898,1.84457860527117,0,0,3,0.877958076618045,0.84742544872472,0.919942308434229
1914,1795,2032,2.22062308073049,2.14935635645432,2.28800606230622,0,0,0,1.10140021202448,1.0621091425816,1.14978970031415
524,433,610,2.24992817742533,2.18343817564747,2.32946246856686,0,0,1,0.894593924875587,0.867506212959281,0.924238321354976
104,96,161,2.73676978395082,2.71858477226078,2.7599503494894,0,0,0,1.08940504430807,1.06057623095779,1.11592763528027
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
