"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
566,470,689,1.33107389783233,1.25343923565896,1.41634317224195,2,0,7,0.4542126191836,0.420667081475491,0.491271757418918
386,287,491,1.70388573132074,1.60177130220234,1.81237389855193,1,0,5,0.580600602180074,0.536644308914938,0.62706091541948
607,503,746,1.27588785876929,1.19731289164641,1.35911055287347,8,1,18,0.463290279312359,0.429754168393184,0.50139295653048
453,360,594,1.53908829449509,1.4435471117491,1.637804182181,15,4,29,0.576514831676968,0.540767509578133,0.624756610681816
666,570.975,783,1.28678688502328,1.22976304720535,1.34813102847263,1,0,6,0.455425873655017,0.42206317540636,0.492438862918417
476,400,566,1.63212714966298,1.56987244164931,1.70177415959533,0,0,2,0.573042105812364,0.532664441777273,0.612629775107298
568,487,676,1.3187032493292,1.26834117693439,1.37718364905337,1,0,5,0.456484995463284,0.425220256617893,0.491235557128957
342,270,412,1.65831010457178,1.5874423922808,1.73604542549991,0,0,3,0.567156870470796,0.527965065022347,0.608302854145191
723,603,842,1.25717516713532,1.18818491066058,1.33277927256494,2,0,7,0.461798400337245,0.437925800625123,0.488473319463842
478,390.975,579,1.68050844721026,1.58994751851372,1.77432636185278,3,0,8,0.588461669115719,0.558323956613963,0.619491597482715
577,483,692,1.32991545498216,1.2579086606372,1.41061460595872,54,35,76,0.461417522371221,0.437842701660852,0.487297309345425
416,315,539,1.63835100892021,1.55084027544445,1.72837608480819,1,0,5,0.612155711127175,0.571576942432807,0.641360542220682
672,600,754,1.26886395015451,1.22589327130075,1.32100348275565,2,0,7,0.45414108147035,0.434385996407651,0.476248954169757
535,464,613,1.63908832099203,1.58303902259525,1.70844631525315,0,0,1,0.599672284536382,0.572912199413962,0.630256600683115
580,507,654,1.29860363630405,1.25194621379933,1.34909265443238,0,0,2,0.455491155620274,0.436661790846092,0.480577974245118
482,423,546,1.67463345640907,1.62167517248655,1.7411403628539,0,0,1,0.599521226454887,0.576692228121131,0.628025112766727
