district,date,total,diff,diff2,diff3
harare,11/1/09,2,2,2,2
harare,11/8/09,2,0,0,0
harare,11/15/09,6,4,4,4
harare,11/22/09,8,2,2,2
,11/29/09,8,0,0,0
harare,12/2/09,8,0,0,0
,12/6/09,9,1,1,1
harare,12/13/09,10,1,1,1
harare,12/20/09,10,0,5,0
harare,12/27/09,24,14,9,14
harare,1/3/10,29,5,10,5
harare,1/10/10,52,23,18,23
harare,1/17/10,52,0,15,10
harare,1/24/10,71,19,14,9
harare,1/31/10,89,18,11,18
,2/7/10,100,11,8,11
harare,2/14/10,103,3,3,3
harare,2/22/10,105,2,2,2
harare,3/1/10,109,4,4,4
,3/7/10,110,1,1,1
harare,3/14/10,111,1,1,1
harare,3/21/10,112,1,1,1
harare,3/28/10,112,0,0,0
harare,4/4/10,113,1,1,1
harare,4/11/10,117,4,4,4
harare,4/18/10,119,2,2,2
harare,4/25/10,119,0,4,0
harare,5/2/10,126,7,3,7
harare,5/9/10,129,3,3,3
harare,5/16/10,131,2,2,2
,5/23/10,132,1,1,1
harare,5/30/10,134,2,2,2
harare,6/7/10,134,0,0,0
harare,6/14/10,135,1,1,1
harare,6/20/10,135,0,6,0
harare,6/27/10,146,11,5,11
,7/4/10,148,2,2,2
,7/11/10,149,1,1,1
harare,7/18/10,150,1,1,1
,7/25/10,151,1,1,1
,8/1/10,151,0,0,0
,8/8/10,152,1,1,1
,8/15/10,152,0,0,0
,8/23/10,152,0,0,0
,8/30/10,153,1,1,1
,9/5/10,153,0,0,0
harare,9/12/10,153,0,0,0
harare,9/19/10,153,0,0,0
harare,9/26/10,153,0,0,0
harare,10/3/10,154,1,1,1
harare,10/10/10,154,0,0,0
harare,10/17/10,154,0,0,0
harare,10/24/10,154,0,0,0
harare,10/31/10,154,0,0,0
harare,11/7/10,155,1,1,1
harare,11/14/10,156,1,1,1
harare,11/21/10,156,0,0,0
harare,11/28/10,156,0,0,0
harare,12/5/10,156,0,0,0
harare,12/12/10,156,0,0,0
,,,156,156,
